MUX_MODULE,MUX_GLYPH,PNG_ICON
bar,bright_0,sun-haze-low
bar,bright_1,sun-haze-high
bar,bright_2,home-sun-2
bar,bright_3,home-sun-1
bar,volume_0,volume-off
bar,volume_1,volume-low
bar,volume_2,volume-1
bar,volume_3,volume-high
header,bluetooth,bluetooth
header,capacity_0,battery-empty-horizontal
header,capacity_100,battery-100-percent-full-horizontal
header,capacity_10,battery-25-percent-horizontal
header,capacity_20,battery-25-percent-horizontal
header,capacity_30,battery-50-percent-horizontal
header,capacity_40,battery-50-percent-horizontal
header,capacity_50,battery-75-percent-horizontal
header,capacity_60,battery-75-percent-horizontal
header,capacity_70,battery-75-percent-horizontal
header,capacity_80,battery-100-percent-full-horizontal
header,capacity_90,battery-100-percent-full-horizontal
header,capacity_charging_0,battery-empty-horizontal
header,capacity_charging_100,battery-100-percent-full-horizontal
header,capacity_charging_10,battery-25-percent-horizontal
header,capacity_charging_20,battery-25-percent-horizontal
header,capacity_charging_30,battery-50-percent-horizontal
header,capacity_charging_40,battery-50-percent-horizontal
header,capacity_charging_50,battery-75-percent-horizontal
header,capacity_charging_60,battery-75-percent-horizontal
header,capacity_charging_70,battery-75-percent-horizontal
header,capacity_charging_80,battery-100-percent-full-horizontal
header,capacity_charging_90,battery-100-percent-full-horizontal
header,network_active,wifi
header,network_normal,wifi-disabled
muxapp,app,boxes-stacked-2
muxapp,archive,box-archive-1
muxapp,dingux,floppy-disk-1
muxapp,flip,clock-digital
muxapp,moonlight,tv-moon
muxapp,music,music
muxapp,portmaster,ship-2
muxapp,ppsspp,game-pad-modern-1
muxapp,retroarch,ghost
muxapp,rgbcontroller,bulb-3
muxapp,task,screwdriver-wrench-3
muxapp,terminal,terminal-square
muxarchive,archive,box-archive-1
muxarchive,installed,box-check-circle
muxassign,core,box-cube-3D
muxassign,default,star-fat
muxassign,system,server-1
muxbackup,activity,beat
muxbackup,backuptarget,server-1
muxbackup,bios,chip-beat
muxbackup,catalogue,book-open
muxbackup,collection,star-fat
muxbackup,config,screwdriver-wrench-3
muxbackup,content,game-pad
muxbackup,core,box-cube-3D
muxbackup,external,triangle-2
muxbackup,history,history-page
muxbackup,language,globe-2
muxbackup,music,music
muxbackup,name,letter-blocks
muxbackup,network,home-wifi-1
muxbackup,pack-bootlogo,frame-image
muxbackup,pack-catalogue,book-legal
muxbackup,pack-config,sliders-triple-horizontal-2
muxbackup,retroarch,ghost
muxbackup,save,floppy-disk-1
muxbackup,scheme,game-pad
muxbackup,screenshot,camera-scan
muxbackup,startbackup,boxes-stacked-1
muxbackup,syncthing,refresh-circle-1-clockwise
muxbackup,theme,colour-palette-3
muxbackup,userinit,computer-binary
muxcollect,collection,star-fat
muxcollect,folder,folder-1
muxconfig,backup,box-download
muxconfig,connect,home-wifi-1
muxconfig,custom,screwdriver-wrench-3
muxconfig,general,gear-1
muxconfig,interface,sliders-horizontal-square-2
muxconfig,language,globe-2
muxconfig,power,plug-4
muxconfig,storage,storage-hdd-1
muxconfig,theme,colour-palette-3
muxconnect,bluetooth,bluetooth
muxconnect,network,home-wifi-1
muxconnect,service,connected-nodes
muxconnect,usbfunction,usb-port
muxcontrol,default,game-pad
muxcontrol,modern,game-pad-modern-2
muxcontrol,retro,joystick
muxcontrol,system,star-fat
muxcustom,align,frame-image
muxcustom,alternate,colour-palette-3
muxcustom,animation,monitor-recycle
muxcustom,blackfade,monitor-recycle
muxcustom,bootlogo,frame-image
muxcustom,boxart,frame-image
muxcustom,catalogue,book-open
muxcustom,chime,bell-1
muxcustom,config,sliders-horizontal-square-2
muxcustom,font,font-square
muxcustom,music,music
muxcustom,resolution,monitor-gear
muxcustom,sound,volume-1
muxcustom,splash,frame-image
muxcustom,theme,colour-palette-3
muxdanger,cache,broom
muxdanger,cardmode,server-1
muxdanger,child,code-fork
muxdanger,cluster,node-add
muxdanger,dirty-back,water-drop-2
muxdanger,dirty-ratio,backward
muxdanger,idleflush,stopcock
muxdanger,iostats,bar-chart-4
muxdanger,merge,node-move-down
muxdanger,readahead,forward
muxdanger,requests,sliders-double-horizontal
muxdanger,state,plug-1
muxdanger,timeslice,stopwatch
muxdanger,tunescale,sliders-vertical-square-2
muxdanger,vmswap,move-down
muxdevice,bluetooth,bluetooth
muxdevice,debugfs,bot
muxdevice,hdmi,tv-crt
muxdevice,lid,laptop-2
muxdevice,network,home-wifi-1
muxdevice,portmaster,ship-2
muxdevice,rgb,bulb-3
muxgov,conservative,shield-1-bulb
muxgov,default,star-fat
muxgov,governor,chip-2
muxgov,interactive,bolt-3
muxgov,ondemand,bar-chart-5
muxgov,performance,rocket-6
muxgov,powersave,battery-time
muxgov,schedutil,vector-nodes-5
muxgov,userspace,user-gear
muxhdmi,audio,tv-audio
muxhdmi,depth,paint-bucket
muxhdmi,enable,tv-crt
muxhdmi,range,colour-palette-3
muxhdmi,resolution,tv-gear
muxhdmi,scan,expand-square-4
muxhdmi,space,colour-palette-1
muxhistory,collection,star-fat
muxhistory,history,browser-refresh-clockwise
muxinfo,credit,users
muxinfo,netinfo,home-wifi-1
muxinfo,screenshot,camera-scan
muxinfo,space,storage-hdd-2
muxinfo,sysinfo,laptop-beat-performance
muxinfo,tester,joystick
muxinfo,tracker,beat
muxkiosk,advanced,gears-1
muxkiosk,apps,boxes-stacked-2
muxkiosk,archive,box-archive-1
muxkiosk,bootlogo,frame-image
muxkiosk,catalogue,book-legal
muxkiosk,clock,clock-eight
muxkiosk,collectacc,star-fat
muxkiosk,collectadd,star-plus
muxkiosk,collectmod,star-fat-multiple
muxkiosk,collectnew,star-fat-shine
muxkiosk,collectrem,star-fat-disabled
muxkiosk,config,screwdriver-wrench-3
muxkiosk,control,game-pad
muxkiosk,core,box-cube-3D
muxkiosk,custom,screwdriver-wrench-3
muxkiosk,enable,magic-wand-2
muxkiosk,explore,play
muxkiosk,general,gear-1
muxkiosk,governor,chip-2
muxkiosk,hdmi,tv-crt
muxkiosk,historymod,history-time
muxkiosk,historyrem,history-trash
muxkiosk,info,info-circle
muxkiosk,language,globe-2
muxkiosk,message,message-3-error
muxkiosk,network,home-wifi-1
muxkiosk,option,gear-1
muxkiosk,power,plug-4
muxkiosk,raconfig,ghost
muxkiosk,retroarch,ghost
muxkiosk,search,search-list
muxkiosk,storage,storage-hdd-2
muxkiosk,tag,label-list
muxkiosk,task,screwdriver-wrench-3
muxkiosk,theme,colour-palette-3
muxkiosk,timezone,map-marker-7
muxkiosk,visual,sliders-horizontal-square-2
muxkiosk,webserv,connected-nodes
muxlanguage,language,globe-2
muxlaunch,apps,dashboard-square-plus
muxlaunch,collection,star-fat
muxlaunch,config,gear-1
muxlaunch,explore,play
muxlaunch,history,history-page
muxlaunch,info,info-circle
muxlaunch,reboot,rotate-1-clockwise
muxlaunch,shutdown,power-button
muxnetinfo,actraffic,compress-arrow-4
muxnetinfo,channel,connected-nodes
muxnetinfo,dns,hash
muxnetinfo,gateway,hash
muxnetinfo,hostname,question-mark-square
muxnetinfo,ip,laptop-wifi
muxnetinfo,mac,chip-gear
muxnetinfo,signal,signal-1-good
muxnetinfo,ssid,house-wifi
muxnetinfo,tptraffic,arrow-both-direction-horizontal-2
muxnetprofile,profile,star-wifi
muxnetscan,netscan,scan-wifi
muxnetwork,address,laptop-wifi
muxnetwork,boot,connected-nodes
muxnetwork,connect,arrow-right-square
muxnetwork,dns,hash
muxnetwork,gateway,hash
muxnetwork,identifier,house-wifi
muxnetwork,monitor,device-beat
muxnetwork,password,key-2
muxnetwork,scan,binoculars
muxnetwork,subnet,hash
muxnetwork,type,chip-gear
muxoption,control,game-pad
muxoption,core,box-cube-3D
muxoption,folder,folder-1
muxoption,governor,chip-2
muxoption,rom,browser-1
muxoption,search,search-list
muxoption,tag,label-list
muxoption,time,clock-eight
muxpicker,catalogue,book-open
muxpicker,config,screwdriver-wrench-3
muxpicker,folder,folder-1
muxpicker,theme,colour-palette-3
muxplore,collection,browser-star
muxplore,folder,folder-1
muxplore,history,browser-refresh-clockwise
muxplore,rom,browser-1
muxpower,battery,battery-plus-minus
muxpower,idle_display,tv-time
muxpower,idle_mute,volume-mute
muxpower,idle_sleep,tv-sleep
muxpower,shutdown,plug-question-mark
muxrtc,day,calendar
muxrtc,hour,clock-eight
muxrtc,minute,clock-eight
muxrtc,month,calendar
muxrtc,notation,clock-eight
muxrtc,timezone,map-marker-1
muxrtc,year,calendar
muxsearch,content,browser-1
muxsearch,folder,folder-1
muxsearch,global,globe-2
muxsearch,local,folder-iot-3
muxsearch,lookup,keyboard
muxshot,screenshot,camera-scan
muxspace,rfs,storage-hdd-2
muxspace,sd1,storage-ssd-1
muxspace,sd2,storage-ssd-1
muxspace,usb,storage-pen-drive-2
muxstorage,bios,chip-beat
muxstorage,catalogue,book-open
muxstorage,collection,star-fat
muxstorage,config,screwdriver-wrench-3
muxstorage,content,game-pad
muxstorage,core,box-cube-3D
muxstorage,history,history-page
muxstorage,language,globe-2
muxstorage,music,music
muxstorage,name,letter-blocks
muxstorage,network,home-wifi-1
muxstorage,pack-bootlogo,frame-image
muxstorage,pack-catalogue,book-legal
muxstorage,pack-config,sliders-triple-horizontal-2
muxstorage,retroarch,ghost
muxstorage,save,floppy-disk-1
muxstorage,scheme,game-pad
muxstorage,screenshot,camera-scan
muxstorage,syncthing,refresh-circle-1-clockwise
muxstorage,theme,colour-palette-3
muxstorage,userinit,computer-binary
muxsysinfo,capacity,battery-plus-minus
muxsysinfo,cpu,chip-code
muxsysinfo,device,server-1
muxsysinfo,governor,chip-2
muxsysinfo,kernel,bot
muxsysinfo,memory,chip-bolt
muxsysinfo,speed,chip-beat
muxsysinfo,temp,thermometer-progress-full-2
muxsysinfo,uptime,stopwatch
muxsysinfo,version,server-1
muxsysinfo,voltage,battery-plus-minus
muxtag,abandoned,xmark-circle
muxtag,alternate,browser-tabs
muxtag,backlog,box-time
muxtag,complected,question-mark-circle
muxtag,completed,check-circle-1
muxtag,cursed,mask-skull
muxtag,default,browser-1
muxtag,experimental,test-tube-3
muxtag,homebrew,coffee-cup-2
muxtag,inprogress,spinner-2-sacle
muxtag,none,browser-disabled
muxtag,patched,briefcase-plus-1
muxtag,replay,repeat-clockwise-circle-2
muxtag,romhack,magic-wand-2
muxtag,translated,globe-2
muxtask,backup,box-download
muxtask,clear,trash-1
muxtask,diagnostic,computer-binary
muxtask,ethernet,ethernet-1
muxtask,folder,folder-1
muxtask,junk,water-drops-2
muxtask,network,home-wifi-1
muxtask,retroarch,ghost
muxtask,sdcard,storage-ssd-1
muxtask,star,star-fat
muxtask,theme,colour-palette-3
muxtheme,theme,colour-palette-3
muxthemedownloader,theme_downloaded,box-check-circle
muxthemedownloader,theme,box-download
muxthemefilter,grid,layout-5
muxthemefilter,hdmi,tv-crt
muxthemefilter,language,globe-2
muxthemefilter,lookup,keyboard
muxthemefilter,theme,colour-palette-3
muxtimezone,timezone,map-marker-7
muxtweakadv,accelerate,arrow-both-direction-2
muxtweakadv,brightness,sun-1
muxtweakadv,dispsuspend,monitor-arrow-downward
muxtweakadv,dpadswap,repeat-clockwise-square-2
muxtweakadv,led,bulb-3
muxtweakadv,lidswitch,laptop-2
muxtweakadv,lock,locked-2
muxtweakadv,offset,battery-plus-minus
muxtweakadv,overdrive,gear-sound
muxtweakadv,retrowait,timer-quarter
muxtweakadv,rumble,phone-vibration-1
muxtweakadv,secondpart,hdd-code-1
muxtweakadv,swapfile,chip-gear
muxtweakadv,swap,arrow-double-center-horizontal
muxtweakadv,theme,colour-palette-3
muxtweakadv,thermal,hot-pepper
muxtweakadv,usbpart,pen-drive-code
muxtweakadv,userinit,computer-binary
muxtweakadv,verbose,text-square
muxtweakadv,volume,volume-1
muxtweakadv,zramfile,chip-gear
muxtweakgen,advanced,gears-1
muxtweakgen,brightness,sun-1
muxtweakgen,clock,clock-eight
muxtweakgen,colour,thermometer-progress-full-2
muxtweakgen,hdmi,tv-crt
muxtweakgen,rgb,bulb-3
muxtweakgen,startup,target-3
muxtweakgen,volume,volume-1
muxvisual,battery,battery-info-circle
muxvisual,clock,clock-eight
muxvisual,counterfile,browser-code
muxvisual,counterfolder,folder-code
muxvisual,dash,scale-eraser
muxvisual,folderempty,folder-disabled
muxvisual,folderitemcount,folder-2
muxvisual,friendlyfolder,folder-user
muxvisual,hidden,browser-disabled-2
muxvisual,name,scale-square
muxvisual,network,home-wifi-1
muxvisual,overlayimage,frame-image
muxvisual,overlaytransparency,frame-image
muxvisual,thetitleformat,spellcheck
muxvisual,titleincluderootdrive,double-quotes-start-circle-2
muxwebserv,ntp,computer-time
muxwebserv,sftpgo,monitor-refresh-clockwise
muxwebserv,sshd,terminal-square
muxwebserv,syncthing,refresh-circle-1-clockwise
muxwebserv,ttyd,laptop-code
